Quarterly Data,Quarter,BLS Labor Productivity Index (2009=100),Labor Force (thousands),Real GDP (billions 2012 constant dollars),Real Fixed Capital (billions 2009 constant dollars)
,2000:1,78.5,142386,12924.2,33386.3
,2000:2,80.2,142577,13160.8,33386.3
,2000:3,80.1,142437,13178.4,33386.3
,2000:4,81.0,142944,13260.5,33386.3
,2001:1,80.7,143808,13222.7,34350.6
,2001:2,82.0,143415,13300.0,34350.6
,2001:3,82.4,143642,13244.8,34350.6
,2001:4,83.5,144210,13280.9,34350.6
,2002:1,85.1,144339,13397.0,35240
,2002:2,85.4,144824,13478.2,35240
,2002:3,86.2,145121,13538.1,35240
,2002:4,86.0,145140,13559.0,35240
,2003:1,86.9,146020,13634.3,36329.5
,2003:2,88.3,146677,13751.5,36329.5
,2003:3,90.0,146487,13985.1,36329.5
,2003:4,90.7,146815,14145.6,36329.5
,2004:1,91.0,146832,14221.1,39094
,2004:2,91.6,147125,14329.5,39094
,2004:3,92.0,147557,14465.0,39094
,2004:4,92.7,148005,14609.9,39094
,2005:1,93.6,148261,14771.6,42061.1
,2005:2,93.3,149142,14839.8,42061.1
,2005:3,94.1,149722,14972.1,42061.1
,2005:4,94.2,150032,15066.6,42061.1
,2006:1,94.8,150556,15267.0,44382.1
,2006:2,94.8,151101,15302.7,44382.1
,2006:3,94.3,151585,15326.4,44382.1
,2006:4,94.8,152393,15456.9,44382.1
,2007:1,94.8,153059,15493.3,45382.4
,2007:2,95.6,152715,15582.1,45382.4
,2007:3,96.7,153072,15666.7,45382.4
,2007:4,97.0,153645,15762.0,45382.4
,2008:1,96.2,153875,15671.4,46149
,2008:2,97.1,154128,15752.3,46149
,2008:3,97.4,154560,15667.0,46149
,2008:4,96.8,154723,15328.0,46149
,2009:1,97.5,154294,15155.9,44944.9
,2009:2,99.4,154657,15134.1,44944.9
,2009:3,101.0,154212,15189.2,44944.9
,2009:4,102.2,153591,15356.1,44944.9
